,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
2191,Applique murale,28.0,Decorative aggregates,Murals,1.0,38.0,"['4f87c2bd-84f5-4aa1-bece-db2f91a47cb6.jpeg', 'f3683eda-5f85-485f-a001-f28ca39bc028.jpeg', '9a381edf-e602-4fae-a3df-662f2087d66d.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2196,Applique murale,28.0,Decorative aggregates,Murals,1.0,38.0,"['957331ad-ec5a-4993-a041-95b9ca14af74.jpeg', '6c118e8a-b009-4c28-89e4-f3584af7017b.jpeg', '8661ab99-fffb-497d-924d-5c71fe4472c2.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2216,Etagère murale,25.0,Decorative aggregates,Murals,1.0,38.0,"['e9d0afe6-3f97-4842-a6e2-8296a55dcda9.jpeg', '9d7d4df7-c7b9-4ab7-a3ff-b6ab3e9c3d28.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2227,Applique murale,28.0,Decorative aggregates,Murals,1.0,38.0,"['f200936b-b94f-472f-9515-f7a0cc4c3d0b.jpeg', '4cdcd238-62c5-4969-99ad-c91fbf19ae74.jpeg', '16094d11-656f-42c2-8892-9e9d689639e7.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2264,Applique murale,28.0,Decorative aggregates,Murals,1.0,102.0,['ea8ef45d-8e25-4a60-a6bb-82f9fa5ddea1.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2405,Applique murale,28.0,Decorative aggregates,Murals,1.0,100.0,['b1ac7d0c-ef94-40ed-b774-f013a0252093.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2417,Applique murale,28.0,Decorative aggregates,Murals,0.0,263.0,['e60272bf-b8ed-4bda-ab76-b0f0d562d99a.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2430,Applique murale,28.0,Decorative aggregates,Murals,0.0,263.0,['8c13fcd3-c781-474e-bf66-352ced1061ce.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2441,Applique murale,28.0,Decorative aggregates,Murals,0.0,263.0,['5e2be4ef-0e3f-497e-896d-9779d46f6287.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2483,Applique murale,28.0,Decorative aggregates,Murals,1.0,100.0,['72cb147d-bc04-49cc-acdc-2b6c4e6699e4.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2558,Applique murale,28.0,Decorative aggregates,Murals,1.0,100.0,['2ebb2571-b434-4bc5-a3d8-99cae90c963c.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2642,Applique murale,28.0,Decorative aggregates,Murals,1.0,100.0,"['d7cb3cda-09d1-4b26-b9c7-49d4f8787b6d.jpeg', '8732bd18-8586-4b02-a945-b62fefe990a8.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2736,Applique murale,28.0,Decorative aggregates,Murals,1.0,106.0,['0306cdad-1f54-434a-84a1-0df06fbf0c9a.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2809,Boiserie murale,40.0,Decorative aggregates,Murals,1.0,60.0,"['1220cf9d-eba4-4eb0-b08f-cc054a0e22a2.jpeg', 'df3828a9-be00-45f8-9265-ffae4f3384af.jpeg', 'ca2e660e-16d8-4e7b-a0b3-cbb3a05051ab.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
2979,Applique murale,13.0,Decorative aggregates,Murals,1.0,57.0,"['fa867e47-1e7e-4bcd-9007-94f4bf619ca4.jpeg', '7e5f1d44-f8ac-4ded-9e18-e2cda3c2903a.jpeg', '5a707ba1-82c2-40f4-8be7-2691c43dee3c.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
3134,Applique murale,20.0,Decorative aggregates,Murals,1.0,57.0,"['3f98e7bb-284e-4be0-ab69-0c1185fd0e7f.jpeg', '57d7a9b8-0ee9-4e7f-89d2-59de99ebd6e7.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
3441,Applique murale,20.0,Decorative aggregates,Murals,1.0,57.0,"['8def4505-e0dc-4d03-8fc7-2dd8792e01e8.jpeg', '731cb693-e67c-4410-a4da-2ddcee16a7ee.jpeg', '02daa5d8-7396-4f08-b39e-a5c13752531f.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
3510,Applique murale,28.0,Decorative aggregates,Murals,0.0,184.0,"['d162a468-ef6f-4d37-a98a-8b7ff8779e8e.jpeg', '0539faf5-09f8-42ae-a649-4c2f991248bf.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
3555,Applique murale,33.0,Decorative aggregates,Murals,0.0,184.0,"['c2e7f0ab-c43c-4e94-ba2f-d934ca2acb53.jpeg', '43bd7ee0-9dc4-48b9-a5c6-4c004397d7be.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
3595,Applique murale,19.0,Decorative aggregates,Murals,0.0,184.0,['a60436d7-7392-4cd5-a00c-9bcc5c895153.png'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
3630,Applique murale,28.0,Decorative aggregates,Murals,0.0,186.0,"['610a2b74-5e2b-4a4f-8f7f-1cebf91f4a15.jpeg', '2e046c7d-e131-4eb4-8800-044e43fa4aac.jpeg', 'c4630706-59ce-483e-9265-1e4073766940.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
3749,Revêtement mural intérieur,40.0,Decorative aggregates,Murals,0.0,194.0,"['bf4ec33f-c39b-4bf1-b617-1947a44f575c.jpeg', '8bc5d9fa-5f6a-420d-be0d-7e46fe4ed0aa.jpeg']","Wall, Barriers, Pannels","Floors, Ceiling",Walling units,,,
3786,Revêtement mural intérieur,39.0,Decorative aggregates,Murals,0.0,194.0,"['20eab154-da48-47f3-b731-7dda3f446494.jpeg', 'e245e766-2938-4e8b-9382-7fca5bb656be.jpeg', '97b638a9-c33d-49d0-9bdd-283025eb3a00.jpeg', '7787983f-5284-406b-b6c3-ef2bd45c5b81.jpeg']","Wall, Barriers, Pannels","Floors, Ceiling",Walling units,,,
3837,Applique murale,28.0,Decorative aggregates,Murals,0.0,184.0,"['b7c62ae8-f0a2-410c-b7c7-2e23d4c1a7ff.png', '4239990f-2a21-4fda-ac72-4f10144e8dbf.png', '0b5dad71-c869-4cd6-9030-9c68054efa16.png']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
4006,Panneau mural ×cm blanc,150.0,Sitka spruce,Murals,0.0,171.0,['424370dd-b16c-465e-bd75-72184b7e3f38.jpg'],"Wall, Barriers, Pannels","Floors, Ceiling","Floor plates, gratings and edgings",,,
4039,Applique murale,28.0,Decorative aggregates,Murals,0.0,209.0,"['7fb76a91-3f20-4154-8275-dab02e6be891.jpeg', '59ca5bee-0726-4aa7-93e4-ddc9c3083b1c.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
4126,Applique murale,28.0,Decorative aggregates,Murals,0.0,143.0,['74c88e97-48cf-4ba6-9e01-6e4178591fe9.jpg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
4193,Applique murale,30.0,Decorative aggregates,Murals,0.0,153.0,['e510c12f-3761-4a25-8145-98d6555f2068.jpg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
4360,Faïence murale,15.0,Decorative aggregates,Murals,0.0,142.0,"['798802ab-c4b7-4495-b067-ca1c8fae907f.jpg', '81a7bd99-6cfb-43c8-a6bb-7fb2612f50c0.jpg', 'ffb2b623-2db9-4d2b-ade4-ce074211c7a3.jpg', '6e9c8d79-2835-4298-b7c7-8d2f834a19e9.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
4369,Applique murale,28.0,Decorative aggregates,Murals,0.0,143.0,"['4734493a-12a0-4770-86dc-c18e24e5ed89.jpg', 'f3972a73-6482-4415-9b48-9efb347ed86e.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
