,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
6338,hängend,,Pisé,Sedge,1.0,0.0,109851_1_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",,,
6359,Stützklappgriff Nosag,,Pisé,Sedge,1.0,29.0,112327_570x570.jpg,Technical elements,"Covering, Finish","Floor plates, gratings and edgings",,,
6401,hängend,,Pisé,Sedge,1.0,173.0,109954_1_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",,,
6402,hängend,,Pisé,Sedge,1.0,173.0,109973_1_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",60.0,35.0,40.0
6405,Bidet beige hängend,,Sitka spruce,Sedge,1.0,173.0,111527_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",60.0,35.0,40.0
6407,hängend,,Pisé,Sedge,1.0,173.0,111883_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",55.5,33.5,
6413,hängend,,Pisé,Sedge,1.0,173.0,108705_1_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",60.0,34.0,
6420,hängend,,Pisé,Sedge,1.0,173.0,112317_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",53.5,36.0,35.0
6428,Kurbelstange,,Pisé,Sedge,1.0,173.0,112261_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",2.0,2.0,120.0
6497,et,,Pisé,Sedge,1.0,173.0,img_0406_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Other,,,
6547,:,,Pisé,Sedge,1.0,173.0,20170915_142434_570x570.jpg,Other,"Covering, Finish",Other,,,
6604,Holztäfer,,Lignite,Sedge,1.0,165.0,img_8284_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",240.0,8.5,0.1
6669,Dampfabzug-Dunstabzugshaube,,Pisé,Sedge,1.0,5.0,_dsc9642_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
6724,Deckentäfelung,,Pisé,Sedge,1.0,26.0,p1010097_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
6779,Pavés,,Pisé,Sedge,1.0,48.0,['https://materiuum.ch/wp-content/uploads/2022/12/2206-4299-a-1.jpg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",0.0,10.0,10.0
6848,Pissoir,,Pisé,Sedge,1.0,9.0,91699_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
6855,Dunstabzug -,,Pisé,Sedge,1.0,32.0,111356_%281%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",33.5,90.0,
6892,Pissoir,,Pisé,Sedge,1.0,90.0,112001_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,47.0,45.0,55.0
6902,Div . Seife Halter,,Silt,Sedge,1.0,90.0,111990_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Support and restraint products,,,
7127,Mitigeur,,Pisé,Sedge,1.0,14.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2209-5013-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2209-5013-b-600x800.jpg']","Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,0.0,18.0,21.5
7141,Pissoir hängend,,Pisé,Sedge,1.0,12.0,112103_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,35.0,40.0,78.0
7182,gerade Einbautreppe mit Massivholztritten Buche u Metallwangen,,Gravel,Sedge,1.0,45.0,img_9251_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",274.0,100.0,251.0
7276,Chaudière,,Pisé,Sedge,1.0,15.0,chaudirewolf_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
7343,Alu Briefkastenanlage er ohne Milchkästli,,Pisé,Sedge,1.0,9.0,20230427_101513_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",38.0,126.0,61.0
7412,Stalllampe,,Pisé,Sedge,0.0,4.0,20170509_104743_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
